DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
5.889617213,95200,95.2,0.001101852,28,66.0975647,378
5.889617213,95800,95.8,0.001108796,28,66.0975647,379.5
5.889617213,95900,95.9,0.001109954,20.5,66.0975647,379.5
5.889617213,96200,96.2,0.001113426,20.5,66.0975647,379.5
5.889617213,97300,97.3,0.001126157,20.5,66.0975647,379.5
5.889617213,98300,98.3,0.001137731,20.5,66.0975647,379.5
5.889617213,99400,99.4,0.001150463,20.5,66.0975647,379.5
5.889617213,100400,100.4,0.001162037,20.5,66.0975647,379.5
5.889617213,100900,100.9,0.001167824,24,66.0975647,383.5
5.889617213,101400,101.4,0.001173611,24,66.0975647,383.5
5.889617213,102500,102.5,0.001186343,24,66.0975647,383.5
5.889617213,103500,103.5,0.001197917,24,66.0975647,383.5
5.889617213,104600,104.6,0.001210648,24,66.0975647,383.5
5.889617213,105600,105.6,0.001222222,24,66.0975647,383.5
5.889617213,105900,105.9,0.001225694,1.5,66.0975647,381
5.889617213,106000,106,0.001226852,1.5,65.97560883,381
5.889617213,106200,106.2,0.001229167,-2,65.97560883,381
5.889617213,106400,106.4,0.001231481,-2,65.97560883,381
5.889617213,106500,106.5,0.001232639,-2,65.97560883,381
5.889617213,106800,106.8,0.001236111,-2,65.97560883,381
5.889617213,111200,111.2,0.001287037,-1.5,65.97560883,381
5.889617213,116200,116.2,0.001344907,0,65.97560883,381
5.889617213,121200,121.2,0.001402778,0,65.97560883,380.5
5.889617213,121300,121.3,0.001403935,-3.5,65.97560883,380.5
5.889617213,126300,126.3,0.001461806,-1.5,65.97560883,381
5.889617213,130900,130.9,0.001515046,-1.5,65.97560883,381
5.889617213,131000,131,0.001516204,-1.5,65.97560883,381
5.889617213,131100,131.1,0.001517361,-1.5,65.97560883,380.5
5.889617213,131200,131.2,0.001518519,-18.5,65.97560883,380.5
